match_key,league,utc_date,home,away,p_home,p_draw,p_away,our_fair_home,our_fair_draw,our_fair_away,avg_home,avg_draw,avg_away,best_home,best_draw,best_away
soccer_epl|2025-08-22T19:00:00Z|West Ham United|Chelsea,soccer_epl,2025-08-22T19:00:00Z,West Ham United,Chelsea,0.44146462141362824,0.2548167775864236,0.3037179870105633,2.265187178075261,3.924388376117974,3.2925280779146613,,4.020243902439025,,,4.25,
soccer_epl|2025-08-23T11:30:00Z|Manchester City|Tottenham Hotspur,soccer_epl,2025-08-23T11:30:00Z,Manchester City,Tottenham Hotspur,0.44146462141362824,0.2548167775864236,0.3037179870105633,2.265187178075261,3.924388376117974,3.2925280779146613,,4.843414634146342,,,5.1,
soccer_epl|2025-08-23T14:00:00Z|Brentford|Aston Villa,soccer_epl,2025-08-23T14:00:00Z,Brentford,Aston Villa,0.44146462141362824,0.2548167775864236,0.3037179870105633,2.265187178075261,3.924388376117974,3.2925280779146613,,3.5539024390243905,,,3.75,
soccer_epl|2025-08-23T14:00:00Z|Bournemouth|Wolverhampton Wanderers,soccer_epl,2025-08-23T14:00:00Z,Bournemouth,Wolverhampton Wanderers,0.44146462141362824,0.2548167775864236,0.3037179870105633,2.265187178075261,3.924388376117974,3.2925280779146613,,3.8500000000000005,,,4.0,
soccer_epl|2025-08-23T14:00:00Z|Burnley|Sunderland,soccer_epl,2025-08-23T14:00:00Z,Burnley,Sunderland,0.44146462141362824,0.2548167775864236,0.3037179870105633,2.265187178075261,3.924388376117974,3.2925280779146613,,3.1550000000000002,,,3.34,
soccer_epl|2025-08-23T16:30:00Z|Arsenal|Leeds United,soccer_epl,2025-08-23T16:30:00Z,Arsenal,Leeds United,0.44146462141362824,0.2548167775864236,0.3037179870105633,2.265187178075261,3.924388376117974,3.2925280779146613,,6.091749999999999,,,6.6,
soccer_epl|2025-08-24T13:00:00Z|Everton|Brighton and Hove Albion,soccer_epl,2025-08-24T13:00:00Z,Everton,Brighton and Hove Albion,0.44146462141362824,0.2548167775864236,0.3037179870105633,2.265187178075261,3.924388376117974,3.2925280779146613,,3.321052631578947,,,3.5,
soccer_epl|2025-08-24T13:00:00Z|Crystal Palace|Nottingham Forest,soccer_epl,2025-08-24T13:00:00Z,Crystal Palace,Nottingham Forest,0.44146462141362824,0.2548167775864236,0.3037179870105633,2.265187178075261,3.924388376117974,3.2925280779146613,,3.3302564102564096,,,3.55,
soccer_epl|2025-08-24T15:30:00Z|Fulham|Manchester United,soccer_epl,2025-08-24T15:30:00Z,Fulham,Manchester United,0.44146462141362824,0.2548167775864236,0.3037179870105633,2.265187178075261,3.924388376117974,3.2925280779146613,,3.504473684210526,,,3.7,
soccer_epl|2025-08-25T19:00:00Z|Newcastle United|Liverpool,soccer_epl,2025-08-25T19:00:00Z,Newcastle United,Liverpool,0.44146462141362824,0.2548167775864236,0.3037179870105633,2.265187178075261,3.924388376117974,3.2925280779146613,,3.847297297297297,,,4.0,
soccer_epl|2025-08-30T11:30:00Z|Chelsea|Fulham,soccer_epl,2025-08-30T11:30:00Z,Chelsea,Fulham,0.44146462141362824,0.2548167775864236,0.3037179870105633,2.265187178075261,3.924388376117974,3.2925280779146613,,4.137142857142857,,,4.43,
soccer_epl|2025-08-30T14:00:00Z|Tottenham Hotspur|Bournemouth,soccer_epl,2025-08-30T14:00:00Z,Tottenham Hotspur,Bournemouth,0.44146462141362824,0.2548167775864236,0.3037179870105633,2.265187178075261,3.924388376117974,3.2925280779146613,,3.7277272727272734,,,4.05,
soccer_epl|2025-08-30T14:00:00Z|Sunderland|Brentford,soccer_epl,2025-08-30T14:00:00Z,Sunderland,Brentford,0.44146462141362824,0.2548167775864236,0.3037179870105633,2.265187178075261,3.924388376117974,3.2925280779146613,,3.3289999999999997,,,3.5,
soccer_epl|2025-08-30T14:00:00Z|Manchester United|Burnley,soccer_epl,2025-08-30T14:00:00Z,Manchester United,Burnley,0.44146462141362824,0.2548167775864236,0.3037179870105633,2.265187178075261,3.924388376117974,3.2925280779146613,,4.656363636363636,,,5.2,
soccer_epl|2025-08-30T14:00:00Z|Wolverhampton Wanderers|Everton,soccer_epl,2025-08-30T14:00:00Z,Wolverhampton Wanderers,Everton,0.44146462141362824,0.2548167775864236,0.3037179870105633,2.265187178075261,3.924388376117974,3.2925280779146613,,3.2040909090909087,,,3.4,
soccer_epl|2025-08-30T16:30:00Z|Leeds United|Newcastle United,soccer_epl,2025-08-30T16:30:00Z,Leeds United,Newcastle United,0.44146462141362824,0.2548167775864236,0.3037179870105633,2.265187178075261,3.924388376117974,3.2925280779146613,,3.4622727272727274,,,3.7,
soccer_epl|2025-08-31T13:00:00Z|Brighton and Hove Albion|Manchester City,soccer_epl,2025-08-31T13:00:00Z,Brighton and Hove Albion,Manchester City,0.44146462141362824,0.2548167775864236,0.3037179870105633,2.265187178075261,3.924388376117974,3.2925280779146613,,3.956666666666666,,,4.15,
soccer_epl|2025-08-31T13:00:00Z|Nottingham Forest|West Ham United,soccer_epl,2025-08-31T13:00:00Z,Nottingham Forest,West Ham United,0.44146462141362824,0.2548167775864236,0.3037179870105633,2.265187178075261,3.924388376117974,3.2925280779146613,,3.4940000000000007,,,3.75,
soccer_epl|2025-08-31T15:30:00Z|Liverpool|Arsenal,soccer_epl,2025-08-31T15:30:00Z,Liverpool,Arsenal,0.44146462141362824,0.2548167775864236,0.3037179870105633,2.265187178075261,3.924388376117974,3.2925280779146613,,3.4314999999999998,,,3.62,
soccer_epl|2025-08-31T18:00:00Z|Aston Villa|Crystal Palace,soccer_epl,2025-08-31T18:00:00Z,Aston Villa,Crystal Palace,0.44146462141362824,0.2548167775864236,0.3037179870105633,2.265187178075261,3.924388376117974,3.2925280779146613,,3.4347058823529406,,,3.7,
