match_key,league,utc_date,home,away,lambda_home,lambda_away,p_home,p_draw,p_away,p_over25,p_under25,p_btts_y,p_btts_n,our_fair_home,our_fair_draw,our_fair_away
soccer_epl|2025-08-16T16:30:00Z|Wolverhampton Wanderers|Manchester City,soccer_epl,2025-08-16T16:30:00Z,Wolverhampton Wanderers,Manchester City,1.5,1.2,0.44146462141362824,0.2548167775864236,0.3037179870105633,0.5063748949371538,0.4936251050628462,0.5428807067613846,0.45711929323861544,2.265187178075261,3.924388376117974,3.2925280779146613
soccer_epl|2025-08-17T13:00:00Z|Nottingham Forest|Brentford,soccer_epl,2025-08-17T13:00:00Z,Nottingham Forest,Brentford,1.5,1.2,0.44146462141362824,0.2548167775864236,0.3037179870105633,0.5063748949371538,0.4936251050628462,0.5428807067613846,0.45711929323861544,2.265187178075261,3.924388376117974,3.2925280779146613
soccer_epl|2025-08-17T13:00:00Z|Chelsea|Crystal Palace,soccer_epl,2025-08-17T13:00:00Z,Chelsea,Crystal Palace,1.5,1.2,0.44146462141362824,0.2548167775864236,0.3037179870105633,0.5063748949371538,0.4936251050628462,0.5428807067613846,0.45711929323861544,2.265187178075261,3.924388376117974,3.2925280779146613
soccer_epl|2025-08-17T15:30:00Z|Manchester United|Arsenal,soccer_epl,2025-08-17T15:30:00Z,Manchester United,Arsenal,1.5,1.2,0.44146462141362824,0.2548167775864236,0.3037179870105633,0.5063748949371538,0.4936251050628462,0.5428807067613846,0.45711929323861544,2.265187178075261,3.924388376117974,3.2925280779146613
soccer_epl|2025-08-18T19:00:00Z|Leeds United|Everton,soccer_epl,2025-08-18T19:00:00Z,Leeds United,Everton,1.5,1.2,0.44146462141362824,0.2548167775864236,0.3037179870105633,0.5063748949371538,0.4936251050628462,0.5428807067613846,0.45711929323861544,2.265187178075261,3.924388376117974,3.2925280779146613
soccer_epl|2025-08-22T19:00:00Z|West Ham United|Chelsea,soccer_epl,2025-08-22T19:00:00Z,West Ham United,Chelsea,1.5,1.2,0.44146462141362824,0.2548167775864236,0.3037179870105633,0.5063748949371538,0.4936251050628462,0.5428807067613846,0.45711929323861544,2.265187178075261,3.924388376117974,3.2925280779146613
soccer_epl|2025-08-23T11:30:00Z|Manchester City|Tottenham Hotspur,soccer_epl,2025-08-23T11:30:00Z,Manchester City,Tottenham Hotspur,1.5,1.2,0.44146462141362824,0.2548167775864236,0.3037179870105633,0.5063748949371538,0.4936251050628462,0.5428807067613846,0.45711929323861544,2.265187178075261,3.924388376117974,3.2925280779146613
soccer_epl|2025-08-23T14:00:00Z|Brentford|Aston Villa,soccer_epl,2025-08-23T14:00:00Z,Brentford,Aston Villa,1.5,1.2,0.44146462141362824,0.2548167775864236,0.3037179870105633,0.5063748949371538,0.4936251050628462,0.5428807067613846,0.45711929323861544,2.265187178075261,3.924388376117974,3.2925280779146613
soccer_epl|2025-08-23T14:00:00Z|Bournemouth|Wolverhampton Wanderers,soccer_epl,2025-08-23T14:00:00Z,Bournemouth,Wolverhampton Wanderers,1.5,1.2,0.44146462141362824,0.2548167775864236,0.3037179870105633,0.5063748949371538,0.4936251050628462,0.5428807067613846,0.45711929323861544,2.265187178075261,3.924388376117974,3.2925280779146613
soccer_epl|2025-08-23T14:00:00Z|Burnley|Sunderland,soccer_epl,2025-08-23T14:00:00Z,Burnley,Sunderland,1.5,1.2,0.44146462141362824,0.2548167775864236,0.3037179870105633,0.5063748949371538,0.4936251050628462,0.5428807067613846,0.45711929323861544,2.265187178075261,3.924388376117974,3.2925280779146613
soccer_epl|2025-08-23T16:30:00Z|Arsenal|Leeds United,soccer_epl,2025-08-23T16:30:00Z,Arsenal,Leeds United,1.5,1.2,0.44146462141362824,0.2548167775864236,0.3037179870105633,0.5063748949371538,0.4936251050628462,0.5428807067613846,0.45711929323861544,2.265187178075261,3.924388376117974,3.2925280779146613
soccer_epl|2025-08-24T13:00:00Z|Everton|Brighton and Hove Albion,soccer_epl,2025-08-24T13:00:00Z,Everton,Brighton and Hove Albion,1.5,1.2,0.44146462141362824,0.2548167775864236,0.3037179870105633,0.5063748949371538,0.4936251050628462,0.5428807067613846,0.45711929323861544,2.265187178075261,3.924388376117974,3.2925280779146613
soccer_epl|2025-08-24T13:00:00Z|Crystal Palace|Nottingham Forest,soccer_epl,2025-08-24T13:00:00Z,Crystal Palace,Nottingham Forest,1.5,1.2,0.44146462141362824,0.2548167775864236,0.3037179870105633,0.5063748949371538,0.4936251050628462,0.5428807067613846,0.45711929323861544,2.265187178075261,3.924388376117974,3.2925280779146613
soccer_epl|2025-08-24T15:30:00Z|Fulham|Manchester United,soccer_epl,2025-08-24T15:30:00Z,Fulham,Manchester United,1.5,1.2,0.44146462141362824,0.2548167775864236,0.3037179870105633,0.5063748949371538,0.4936251050628462,0.5428807067613846,0.45711929323861544,2.265187178075261,3.924388376117974,3.2925280779146613
soccer_epl|2025-08-25T19:00:00Z|Newcastle United|Liverpool,soccer_epl,2025-08-25T19:00:00Z,Newcastle United,Liverpool,1.5,1.2,0.44146462141362824,0.2548167775864236,0.3037179870105633,0.5063748949371538,0.4936251050628462,0.5428807067613846,0.45711929323861544,2.265187178075261,3.924388376117974,3.2925280779146613
